car_id,source_type,data_role,listing_id,source_url,car_name,title_full,price_chf,registration,age_years,fuel_type,mileage_km,power_ps,transmission,consumption_raw,drive_type,body_type,intended_category,condition_text,original_price_chf,mfk_included,accident_damage,warranty,warranty_text,seller_name,optional_equipment_count,standard_equipment_count,service_keyword_count,image_path,duplicate_adjustment_note,price_score,mileage_score,age_score,condition_score,service_history_score,accident_risk_score,seller_trust_score,value_for_money_indicator,confidence_score,recommendation_score,budget_mode_score,reliability_mode_score,recommendation_label
R35,real_autoscout24,real_market_sample,20416039,https://www.autoscout24.ch/en/d/20416039,DODGE 1500,DODGE 1500,59850.0,05/2023,3.0,Petrol,45090.0,400.0,Automatic,-,All-wheel (4x4),Pick-up,Pickup,Used,,Yes,No,Yes,"From delivery, 12 months or 20'000 km Scan me for more information on",Asticher SA Garage & Carrosserie,0,0,5,images/35.webp,,5.44,6.0,6.39,9.06,8.62,1.2,9.1,6.57,10.0,74.8,70.2,79.6,Recommend
R36,real_autoscout24,real_market_sample,20042846,https://www.autoscout24.ch/en/d/20042846,FORD Ranger Raptor 2.0 Eco Blue PERFORMANCE 4x4 A,FORD Ranger Raptor 2.0 Eco Blue PERFORMANCE 4x4 A,31500.0,10/2019,6.58,Diesel,111900.0,213.0,Automatic,10.7 l/100 km,All-wheel (4x4),Pick-up,Pickup,Used,64690.0,Yes,No,Yes,"From delivery, 12 months or 20'000 km Schutz vor hohen Reparaturkosten im Schadenfall",Auto Center Baden GmbH,0,102,15,images/36.webp,,10.0,0.07,2.01,7.93,9.2,1.2,9.1,6.06,10.0,66.8,67.1,69.8,Recommend
R37,real_autoscout24,real_market_sample,12901987,https://www.autoscout24.ch/en/d/12901987,KGM-SsangYong Musso 2.2 Platinum 4WD Aut. inkl. AHK,"KGM-SsangYong Musso 2.2 Platinum 4WD Aut. inkl. AHK Vorführwagen, Toppreis inkl. Anhängerkupplung 3.5 Tonnen!",34840.0,02/2026,0.25,Diesel,6000.0,202.0,Automatic,9.1 l/100 km,All-wheel (4x4),Pick-up,Pickup,Demo vehicle,41840.0,Yes,No,Yes,"From 1st registration, 84 months or 100'000 km Description Hardtop, Rollo, und weiteres umfangreiches Zubehör auf Anfrage.",Garage Village AG,1,57,7,images/37.webp,,9.64,9.47,9.76,9.33,9.38,1.2,9.1,8.36,10.0,93.9,94.2,93.3,Strongly Recommend
R38,real_autoscout24,real_market_sample,12670722,https://www.autoscout24.ch/en/d/12670722,MAXUS T60 Max 2.0TDI 4x4 Automa T60 MAX mit 3'500 kg Anhängelast! vom offiz. Maxus-Partner mit 5 Jahren,MAXUS T60 Max 2.0TDI 4x4 Automa T60 MAX mit 3'500 kg Anhängelast! vom offiz. Maxus-Partner mit 5 Jahren Garantie,43132.0,New,0.05,Diesel,25.0,215.0,Automatic,-,All-wheel (4x4),Pick-up,Pickup,New,,No,No,Yes,"From 1st registration, 60 months or 160'000 km Description T60 MAX mit 3'500 kg Anhängelast! vom offiz. Maxus-Partner mit 5 Jahren Garantie",Auto Eberle AG,0,55,12,images/38.webp,,8.25,10.0,10.0,10.0,9.2,1.2,8.7,9.21,10.0,93.0,91.5,93.5,Strongly Recommend
R39,real_autoscout24,real_market_sample,12049039,https://www.autoscout24.ch/en/d/12049039,KGM-SsangYong GrandMusso 2.2Plat. 4WD A Grand Musso mit Tageszulassung und 3'500 kg Anhängelast! vom offiz. KGM-,KGM-SsangYong GrandMusso 2.2Plat. 4WD A Grand Musso mit Tageszulassung und 3'500 kg Anhängelast! vom offiz. KGM- Partner.,34990.0,12/2025,0.42,Diesel,1000.0,202.0,Automatic,-,All-wheel (4x4),Pick-up,Pickup,Demo vehicle,,No,No,Yes,"From 1st registration, 84 months or 150'000 km Description Grand Musso mit Tageszulassung und 3'500 kg Anhängelast! vom offiz. KGM-Partner.",Auto Eberle AG,0,58,7,images/39.webp,,9.62,9.91,9.55,8.64,7.58,1.2,8.7,9.41,10.0,90.0,92.0,88.0,Strongly Recommend
R40,real_autoscout24,real_market_sample,20476090,https://www.autoscout24.ch/en/d/20476090,DODGE 3500 Dually,DODGE 3500 Dually,25950.0,08/1998,27.75,Petrol,118000.0,300.0,Manual transmission,20 l/100 km,Rear-wheel drive,Pick-up,Pickup,Used,,Yes,No,No,Description Maximales Mass an Understatement auf 14 quadratmeter Automobil. Dieser Truck ist ein Spitzenprädator.,,0,0,8,images/40.webp,,10.0,0.0,0.0,6.21,6.87,4.75,7.4,6.05,9.58,52.0,55.3,51.9,Consider
R41,real_autoscout24,real_market_sample,20486255,https://www.autoscout24.ch/en/d/20486255,BMW M340i xDrive 48V Touring LCI2 Steptronic M Sport Pro,BMW M340i xDrive 48V Touring LCI2 Steptronic M Sport Pro LEASING AKTION ab 2.9% / INKL. GRATISSERVICE! / 8-FACH BEREIFT,62900.0,04/2025,1.08,Mild hybrid (petrol/electric),28900.0,385.0,Automatic,8.1 l/100 km,All-wheel (4x4),Station wagon,Hybrid,Used,111610.0,Yes,No,Yes,"From 1st registration, 36 months or 200'000 km BMW Garantie Schutz vor hohen Reparaturkosten",Dany`s Cars Autos der Extraklasse,42,73,16,images/41.webp,,4.93,7.43,8.74,9.98,9.8,1.2,9.1,7.05,10.0,82.6,76.0,88.0,Strongly Recommend
R42,real_autoscout24,real_market_sample,20487514,https://www.autoscout24.ch/en/d/20487514,PEUGEOT 208 1.2 MHEV 145 GT Aut. Panorama- Glasdach,"PEUGEOT 208 1.2 MHEV 145 GT Aut. Panorama- Glasdach Fahrzeug mit Werksgarantie, Panorama-Glasdach mit manueller Jalousie, Apple Car Play / Android Auto, Paket Safety",24900.0,New,0.05,Mild hybrid (petrol/electric),10.0,145.0,Automatic,-,Front-wheel drive,Compact car,Hybrid,New,32400.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km Peugeot Werksgarantie Quality1",I.B.A. Automobile AG,4,99,14,images/42.webp,,10.0,10.0,10.0,10.0,10.0,1.2,9.5,8.85,10.0,98.2,98.2,97.6,Strongly Recommend
R43,real_autoscout24,real_market_sample,20491572,https://www.autoscout24.ch/en/d/20491572,AUDI A6 Avant 2.0 45 TFSI Sport quattro S- Tronic,AUDI A6 Avant 2.0 45 TFSI Sport quattro S- Tronic HEAD-UP * AUDI WERKSGARANTIE 5 JAHRE * PANORAMA * AHK VORBEREITUNG * MEMORY SITZ * LEDER * KAMERA * ACC * 8 FACH * AB SERVICE * AB MFK *,36900.0,11/2022,3.5,Mild hybrid (petrol/electric),36800.0,265.0,Automated manual (AMT),7.5 l/100 km,All-wheel (4x4),Station wagon,Hybrid,Used,101480.0,Yes,No,Yes,"From 1st registration, 60 months or 100'000 km Schutz vor hohen Reparaturkosten im Schadenfall",Autostelz AG,34,43,12,images/43.webp,,9.3,6.73,5.78,9.58,9.8,1.2,9.1,8.02,10.0,84.8,84.4,86.3,Strongly Recommend
R44,real_autoscout24,real_market_sample,20479077,https://www.autoscout24.ch/en/d/20479077,BMW X5 30d xDrive SAG,BMW X5 30d xDrive SAG,120900.0,New,0.05,Mild hybrid (diesel/electric),20.0,298.0,Automatic,7.2 l/100 km,All-wheel (4x4),SUV / Off-road,Hybrid,New,137500.0,Yes,No,No,Profitieren Sie beim Kauf eines BMW von höchster Qualität und Zuverlässigkeit,Binelli Automobile AG Filiale Zürich,59,68,11,images/44.webp,,0.0,10.0,10.0,10.0,7.72,1.2,8.4,5.68,10.0,75.7,65.0,83.5,Strongly Recommend
R45,real_autoscout24,real_market_sample,20466850,https://www.autoscout24.ch/en/d/20466850,AUDI SQ5 TFSI quattro S-tronic 5J Garantie - Luftfahrwerk - Panodach - Paket Tech Pro - 360Grad Kamera -,AUDI SQ5 TFSI quattro S-tronic 5J Garantie - Luftfahrwerk - Panodach - Paket Tech Pro - 360Grad Kamera - SONOS - HUD - Alle Assistenten - Dinamica Sitze uvm,86890.0,New,0.05,Mild hybrid (petrol/electric),10.0,367.0,Automated manual (AMT),-,All-wheel (4x4),SUV / Off-road,Hybrid,New,,Yes,No,Yes,"From 1st registration, 60 months or 100'000 km Audi Herstellergarantie 5 Jahre / 100'000km Leasing discount à partir de 2.8% - plus",SCHÖNI CARS AG,82,84,17,images/45.webp,,0.91,10.0,10.0,10.0,10.0,1.2,9.1,5.91,10.0,81.4,70.6,89.8,Strongly Recommend
R46,real_autoscout24,real_market_sample,20487912,https://www.autoscout24.ch/en/d/20487912,SKODA Elroq RS LOUNGE 4X4 *** ANHÄNGEKUPPLUNG - WÄRMEPUMPE & MAXX,SKODA Elroq RS LOUNGE 4X4 *** ANHÄNGEKUPPLUNG - WÄRMEPUMPE & MAXX AUSSTATTUNGSPAKET *** 4 JAHRE SKODA HERSTELLERGARANTIE,46400.0,05/2026,0.55,Electric,20.0,340.0,Automatic,-,All-wheel (4x4),SUV / Off-road,Electric,Used,,Yes,No,Yes,"From 1st registration, 48 months Schutz vor hohen Reparaturkosten im Schadenfall",*** GARAGE REUSSER AG ***,13,142,8,images/46.webp,semi-synthetic variant of similar listing; price adjusted by 2500 CHF and age slightly adjusted,7.7,10.0,9.39,10.0,9.47,1.2,9.1,8.87,10.0,92.1,89.8,93.4,Strongly Recommend
R47,real_autoscout24,real_market_sample,20475977,https://www.autoscout24.ch/en/d/20475977,POLESTAR 4 Long Range Dual Motor,POLESTAR 4 Long Range Dual Motor,53386.0,12/2024,1.92,Electric,12300.0,543.0,Automated manual (AMT),590 km,All-wheel (4x4),Sedan,Electric,Used,80450.0,Yes,No,Yes,"From 1st registration, 60 months Werksgarantie Unfortunately, equipment details are not currently available in your language. Try using your browser’s translate feature while we work on an update.",Stierli Autocenter AG,19,56,9,images/47.webp,semi-synthetic variant of similar listing; price adjusted by 2500 CHF and age slightly adjusted,6.53,8.91,7.71,9.84,9.55,1.2,9.1,7.42,10.0,85.9,82.4,89.0,Strongly Recommend
R48,real_autoscout24,real_market_sample,20479053,https://www.autoscout24.ch/en/d/20479053,BMW iX xDrive60,BMW iX xDrive60,130500.0,New,0.05,Electric,20.0,543.0,Automated manual (AMT),701 km,All-wheel (4x4),SUV / Off-road,Electric,New,155000.0,Yes,No,No,Seller Binelli Automobile AG Filiale Zürich Badenerstrasse 527 (beim Stadion,Binelli Automobile AG Filiale Zürich,47,63,9,images/48.webp,,0.0,10.0,10.0,10.0,7.55,1.2,8.4,5.74,10.0,75.4,64.8,83.2,Strongly Recommend
R49,real_autoscout24,real_market_sample,20475978,https://www.autoscout24.ch/en/d/20475978,POLESTAR 4 Long Range Single Motor Prime,POLESTAR 4 Long Range Single Motor Prime,55550.0,New,0.05,Electric,10.0,272.0,Automated manual (AMT),620 km,Rear-wheel drive,Sedan,Electric,New,71300.0,Yes,No,Yes,"From 1st registration, 60 months Werksgarantie Unfortunately, equipment details are not currently available in your language. Try using your browser’s translate feature while we work on an update.",Stierli Autocenter AG,2,54,8,images/49.webp,,6.17,10.0,10.0,10.0,10.0,1.2,9.1,7.68,10.0,90.9,86.4,94.0,Strongly Recommend
R50,real_autoscout24,real_market_sample,20491899,https://www.autoscout24.ch/en/d/20491899,HYUNDAI Kona EV 65.4 kWh Amplia -25% Rabatt / CH-Fahrzeug / Neuwagen / Neupreis CHF 50'650.- / Nur solange,HYUNDAI Kona EV 65.4 kWh Amplia -25% Rabatt / CH-Fahrzeug / Neuwagen / Neupreis CHF 50'650.- / Nur solange vorrat!,37900.0,New,0.05,Electric,1.0,217.0,Automatic,514 km,Front-wheel drive,SUV / Off-road,Electric,New,50650.0,Yes,No,Yes,"From 1st registration, 60 months 5 Jahre ohne KM-Begrenzung (ab 1. Inv.) & 8 Jahre / 160'000 km auf die Hochvoltbatterie",Gundeli-Garage AG,0,0,5,images/50.webp,,9.13,10.0,10.0,10.0,9.82,1.2,9.1,8.62,10.0,95.9,95.1,96.0,Strongly Recommend
R51,real_autoscout24,real_market_sample,20477335,https://www.autoscout24.ch/en/d/20477335,BMW iX2 30 xDrive,BMW iX2 30 xDrive,86350.0,New,0.05,Electric,20.0,313.0,Automated manual (AMT),479 km,All-wheel (4x4),SUV / Off-road,Electric,New,91850.0,Yes,No,No,Seller Binelli Automobile AG Filiale Zürich Badenerstrasse 527 (beim Stadion,Binelli Automobile AG Filiale Zürich,62,37,8,images/51.webp,,1.0,10.0,10.0,10.0,7.47,1.2,8.4,5.89,10.0,77.1,67.8,83.8,Strongly Recommend
R52,real_autoscout24,real_market_sample,20479034,https://www.autoscout24.ch/en/d/20479034,BMW iX2 30 xDrive,BMW iX2 30 xDrive,75900.0,New,0.05,Electric,20.0,313.0,Automated manual (AMT),479 km,All-wheel (4x4),SUV / Off-road,Electric,New,88000.0,No,No,No,Seller Binelli Automobile AG Filiale Zürich Badenerstrasse 527 (beim Stadion,Binelli Automobile AG Filiale Zürich,62,37,8,images/52.webp,,2.75,10.0,10.0,10.0,6.27,1.2,8.0,6.53,10.0,78.0,71.5,82.3,Strongly Recommend
R53,real_autoscout24,real_market_sample,20463113,https://www.autoscout24.ch/en/d/20463113,POLESTAR 4 Long Range Dual Motor Prime,POLESTAR 4 Long Range Dual Motor Prime,69990.0,New,0.05,Electric,10.0,543.0,Automated manual (AMT),590 km,All-wheel (4x4),Sedan,Electric,New,83000.0,Yes,No,Yes,"From 1st registration, 60 months Werksgarantie Unfortunately, equipment details are not currently available in your language. Try using your browser’s translate feature while we work on an update.",Stierli Autocenter AG,3,70,8,images/53.webp,,3.74,10.0,10.0,10.0,10.0,1.2,9.1,6.86,10.0,86.5,79.1,92.1,Strongly Recommend
R54,real_autoscout24,real_market_sample,20478814,https://www.autoscout24.ch/en/d/20478814,ZEEKR 7X 100kWh Privilege AWD Cockpit/Comfort Paket,"ZEEKR 7X 100kWh Privilege AWD Cockpit/Comfort Paket Aktion Leasing ab mtl. fr. 598.00/Cockpit Paket 36.2-Zoll-Head-Up-Display mit Augmented Reality ZEEKR Sound System: 21 Lautsprecher (2.160 W und 71.4 Dolby Sound) mit professioneller KI-Soundabstimmung Fahrer- Kopfstützenlautsprecher Luftqualität – DuftsystemComfort Paket Elektrische Vorder- und Hintertüren: elektrisches Öffnen und Schliessen, stufenloses Anhalten Sitzbelüftung Fahrer- und Beifahrersitz Massage Funktion Fahrer- und Beifahrer Vierfach elektrisch einstellbare Lendenwirbelstütze für den Beifahrersitz Elektrischer Sonnenschutz für die hinteren Seitenscheiben",57800.0,New,0.05,Electric,10.0,639.0,Automatic,543 km,All-wheel (4x4),Station wagon,Electric,New,,Yes,No,Yes,"From 1st registration, 120 months or 2'000'000 km 5-Jahres-/100.000-km-Garantie die um weitere 5 Jahre / 100.000 km verlängert werden kann",CM Automobile AG,9,75,9,images/54.webp,,5.79,10.0,10.0,10.0,10.0,1.2,9.1,8.11,10.0,90.2,85.2,93.7,Strongly Recommend
R55,real_autoscout24,real_market_sample,20484662,https://www.autoscout24.ch/en/d/20484662,"JEEP Avenger Summit Batteriegarantie 8 Jahre / 160'000km ab 1.INV | Uconnect/ Navigation/ 10.1""","JEEP Avenger Summit Batteriegarantie 8 Jahre / 160'000km ab 1.INV | Uconnect/ Navigation/ 10.1"" Touchscreen | Adaptiver Tempomat ACC | Apple Car Play/ Android Auto | DAB+ | Keyless Entry System | Spurhalteassistent LDW | Toter-Winkel-Warnsystem",26999.0,05/2025,1.0,Electric,3500.0,156.0,Automatic,410 km,Front-wheel drive,SUV / Off-road,Electric,Used,40690.0,Yes,No,Yes,"From 1st registration, 24 months or 100'000 km Herstellergarantie Beratung oder Besichtigung. Zögern Sie",Auto Bonau AG,1,56,12,images/55.webp,,10.0,9.69,8.84,9.75,9.8,1.2,9.1,8.72,10.0,95.1,95.6,94.4,Strongly Recommend
